YEAR,Car_Age,MILEAGE,CAR_PRICE
2011,12,85654,25990
2022,1,15378,85990
2011,12,63407,28590
2012,11,15686,52990
2013,10,49628,35590
2011,12,61293,37590
2011,12,50701,37590
2011,12,19351,48990
2009,13,16562,39990
2011,12,70011,38990
2023,0,6631,89990
